Embryo,Stage,mtX,mtY,mtZ
4,10.5,Limb_mesenchyme,0.75578437,1.26823362,1.21629003
4,10.5,Early_mesenchyme,0.65818912,0.58015350,1.25519435
4,10.5,Radial_glia,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.43507253,1.04715547,1.26846757
4,10.5,Radial_glia,1.88383043,0.75016605,0.58282032
4,10.5,Isthmic_organizer_cells,1.74526122,1.43154486,1.15519487
4,10.5,Neural_progenitor_cells,0.97732067,0.63452316,0.69450342
4,10.5,Jaw_and_tooth_progenitors,1.30775833,1.04873624,1.19520009
4,10.5,Isthmic_organizer_cells,1.79869120,1.15471253,0.91716095
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Postmitotic_premature_neurons,0.45788444,0.86856838,0.79833082
4,10.5,Jaw_and_tooth_progenitors,1.02379842,0.91103382,0.91669130
4,10.5,Primitive_erythroid_lineage,2.45764448,1.56898315,1.84904462
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.35831475,0.91707063,0.94723849
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Early_mesenchyme,0.88448752,1.31732770,1.15391003
4,10.5,Intermediate_Mesoderm,1.05745939,1.22799245,1.36763430
4,10.5,Chondroctye_progenitors,1.11213095,0.80914350,0.82046110
4,10.5,Limb_mesenchyme,0.72040655,1.23974902,1.23427266
4,10.5,Intermediate_Mesoderm,1.11282593,1.28473082,1.51773634
4,10.5,Neural_Tube,1.69126716,0.82137260,0.74749222
4,10.5,Oligodendrocyte_Progenitors,1.70546302,1.42678564,1.40932555
4,10.5,Chondroctye_progenitors,1.06440929,0.95632774,0.81741753
4,10.5,Epithelial_cells,1.98839282,1.15966213,1.13909123
4,10.5,Inhibitory_neuron_progenitors,0.34141074,0.81484549,1.23500300
4,10.5,Oligodendrocyte_Progenitors,1.53903132,1.57279589,1.60218213
4,10.5,Primitive_erythroid_lineage,2.57052178,1.51980650,1.74905635
4,10.5,Early_mesenchyme,1.02943333,0.82762371,1.11681601
4,10.5,Postmitotic_premature_neurons,NA,NA,NA
4,10.5,Neural_Tube,1.45326236,0.76956781,0.74478493
4,10.5,Isthmic_organizer_cells,1.76147405,1.12157965,0.74147361
4,10.5,Oligodendrocyte_Progenitors,1.76824221,1.44593793,1.39748581
4,10.5,Stromal_cells,1.14719617,0.88786476,1.27202711
4,10.5,Chondrocytes_&_osteoblasts,1.01465419,1.28054163,1.14148459
4,10.5,Limb_mesenchyme,0.73286552,1.23403385,1.21859035
4,10.5,Primitive_erythroid_lineage,2.61858170,1.62294931,1.65812772
4,10.5,Postmitotic_premature_neurons,0.58867780,0.82758661,0.75037151
4,10.5,Limb_mesenchyme,0.69053398,1.23071760,1.18297800
4,10.5,Intermediate_Mesoderm,1.15882138,1.43105418,1.84804105
4,10.5,Oligodendrocyte_Progenitors,1.54480750,1.49529895,1.70782287
4,10.5,Chondrocytes_&_osteoblasts,1.36922693,1.00782508,1.21280864
4,10.5,Chondrocytes_&_osteoblasts,1.56714728,1.08185084,1.11240009
4,10.5,Intermediate_Mesoderm,1.24892220,1.22916685,1.85929134
4,10.5,Primitive_erythroid_lineage,2.46324771,1.44747474,1.80056207
4,10.5,Jaw_and_tooth_progenitors,1.22956343,1.34787413,1.35840828
4,10.5,NA,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Notochord_cells,1.46642323,1.18132314,0.92855792
4,10.5,Neural_Tube,1.51064602,0.84024244,0.84846447
4,10.5,Primitive_erythroid_lineage,2.44760260,1.39276655,1.74859041
4,10.5,Limb_mesenchyme,0.78932431,1.24498386,1.23647106
4,10.5,Neural_Tube,1.60484861,0.86893989,0.80483736
4,10.5,Inhibitory_neuron_progenitors,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.25050696,1.25699528,1.61683339
4,10.5,Ependymal_cell,NA,NA,NA
4,10.5,Neural_Tube,1.58395608,0.81859852,0.80974001
4,10.5,Inhibitory_neuron_progenitors,0.47932152,0.85573776,1.41745739
4,10.5,NA,NA,NA,NA
4,10.5,Osteoblasts,NA,NA,NA
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Sensory_neurons,NA,NA,NA
4,10.5,Neural_progenitor_cells,NA,NA,NA
4,10.5,Myocytes,0.55985383,0.37093903,1.19048561
4,10.5,Intermediate_Mesoderm,1.05279193,1.46307486,1.83941705
4,10.5,Chondrocytes_&_osteoblasts,1.28127118,1.31626226,0.97125429
4,10.5,Chondrocytes_&_osteoblasts,1.17453237,1.25686465,1.08098918
4,10.5,Primitive_erythroid_lineage,2.39780459,1.45974949,1.71470973
4,10.5,Stromal_cells,0.92183140,0.84097902,1.52328538
4,10.5,Schwann_cell_precursor,2.30002145,2.66192371,3.08692343
4,10.5,Neural_Tube,1.59162988,0.85869418,0.79768374
4,10.5,Early_mesenchyme,1.32773772,1.02511830,1.21015203
4,10.5,Jaw_and_tooth_progenitors,1.24734665,0.90691733,1.11579191
4,10.5,Premature_oligodendrocyte,1.58168789,1.58831577,1.68350067
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Postmitotic_premature_neurons,0.30710815,0.98978117,1.02614716
4,10.5,Jaw_and_tooth_progenitors,1.43579047,1.04295417,1.25120405
4,10.5,Schwann_cell_precursor,2.39576144,2.91831280,2.56666963
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Chondrocytes_&_osteoblasts,0.71578520,0.70418558,1.22531234
4,10.5,Schwann_cell_precursor,2.60399304,3.17031607,2.62761866
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,2.60925784,1.63514480,1.58223762
4,10.5,Early_mesenchyme,0.97290717,1.22113530,1.28935425
4,10.5,Limb_mesenchyme,0.77753257,1.25398521,1.22667006
4,10.5,NA,NA,NA,NA
4,10.5,Neural_progenitor_cells,1.07345648,0.75241245,0.80013724
4,10.5,Schwann_cell_precursor,2.34464118,2.48322669,2.46520612
4,10.5,Oligodendrocyte_Progenitors,1.65431721,1.41774070,1.50886210
4,10.5,Early_mesenchyme,1.34404172,0.97720953,1.17076610
4,10.5,Granule_neurons,0.92045374,1.60264625,1.42662314
4,10.5,Postmitotic_premature_neurons,0.36779804,0.97589222,0.99288315
4,10.5,NA,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.06485149,1.41671879,1.83055159
4,10.5,Jaw_and_tooth_progenitors,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.39086998,0.88292202,1.00325672
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Limb_mesenchyme,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Osteoblasts,0.95711646,1.21579110,1.20659030
4,10.5,Neural_progenitor_cells,0.92401915,0.65015010,0.65892961
4,10.5,Chondrocytes_&_osteoblasts,0.81424099,1.25980506,1.22172226
4,10.5,Neural_Tube,1.61171373,0.71858894,0.55023565
4,10.5,Early_mesenchyme,0.99196080,1.19063202,1.37001173
4,10.5,Isthmic_organizer_cells,1.66666323,1.52439142,1.50820441
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Chondroctye_progenitors,1.06173461,0.88424874,0.86896426
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Early_mesenchyme,0.92599174,1.19658616,1.34896689
4,10.5,Oligodendrocyte_Progenitors,1.52398547,1.51738574,1.57629301
4,10.5,Early_mesenchyme,1.41436400,1.01309125,1.21557286
